Symbol,Industry,Price,Previous Close,Volume average,Last trade time
ADAPTIVE BIOTECHNOLOGIES CORPORATION (XNAS:ADPT),Biotechnology & Medical Research,7.15,7.85,1062330,7/10/2022 22:11
ADARA ACQUISITION CORP. (XNYS:ADRA),Holding Companies,9.95,9.95,32934,7/10/2022 20:10
AULT DISRUPTIVE TECHNOLOGIES CORPORATION (XNYS:ADRT),Holding Companies,10.11,10.12,8007,5/10/2022 20:00
ADS-TEC ENERGY PUBLIC LIMITED COMPANY (XNAS:ADSE),Software & IT Services,6.25,6.69,12149,7/10/2022 20:00
"AUTODESK, INC. (XNAS:ADSK)",Software & IT Services,194.74,205.87,1506761,7/10/2022 23:34
ADT INC. (XNYS:ADT),Communications & Networking,8.29,8.42,3630157,7/10/2022 23:38
"ADTHEORENT HOLDING COMPANY, INC. (XNAS:ADTH)",Software & IT Services,1.93,1.88,297477,7/10/2022 22:21
"ADTRAN HOLDINGS, INC. (XNAS:ADTN)",Communications & Networking,20.52,20.22,917986,7/10/2022 22:22
"Aditxt, Inc. (XNAS:ADTX)",Biotechnology & Medical Research,3.64,3.31,4731140,8/10/2022 0:00
ADDUS HOMECARE CORPORATION (XNAS:ADUS),Healthcare Providers & Services,97.09,97.89,110792,7/10/2022 20:01
ADVA Optical Networking SE (XETR:ADV),Communications & Networking,19.34,19.35,19000,7/10/2022 18:30
"ADVERUM BIOTECHNOLOGIES, INC. (XNAS:ADVM)",Biotechnology & Medical Research,0.98,1.02,482067,7/10/2022 20:09
Addex Therapeutics Ltd (XNAS:ADXN),Biotechnology & Medical Research,0.79,0.75,87288,7/10/2022 20:13
"ADAMS RESOURCES & ENERGY, INC. (XNYS:AE)",Oil & Gas,30.62,30.52,12637,7/10/2022 20:10
Authentic Equity Acquisition Corp (XNAS:AEAC),Holding Companies,9.96,9.96,39972,7/10/2022 20:00
AUTHENTIC EQUITY ACQUISITION UNT (XNAS:AEACU),#FIELD!,9.97,9.96,1843,7/10/2022 20:00
ALTENERGY ACQUISITION CORP. (XNAS:AEAE),Holding Companies,9.98,9.99,19104,7/10/2022 20:00
abrdn Emg Mkts Eq Inc (XNYS:AEF),#FIELD!,4.7,4.82,48852,7/10/2022 20:10
Aegon Funding Company LLC (XNYS:AEFC),Banking Services,20.55,20.8,52464,7/10/2022 23:00
Aegon NV (XNYS:AEG),Insurance,4.11,4.17,2564668,7/10/2022 23:00
AESTHER HEALTHCARE ACQUISITION CORP. (XNAS:AEHA),Holding Companies,10.2,10.2,7181,6/10/2022 19:56
Antelope Enterprise Holdings Ltd (XNAS:AEHL),Homebuilding & Construction Supplies,0.57,0.58,279750,7/10/2022 23:47
AEHR TEST SYSTEMS (XNAS:AEHR),Semiconductors & Semiconductor Equipment,17.19,13.87,1083470,7/10/2022 23:59
ALSET INC. (XNAS:AEI),Construction & Engineering,0.22,0.23,776206,7/10/2022 23:57
"ADVANCED ENERGY INDUSTRIES, INC. (XNAS:AEIS)","Machinery, Equipment & Components",78.08,83.15,143370,7/10/2022 20:00
AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY (XNYS:AEL),Insurance,38.99,39.41,637122,7/10/2022 23:00
AGNICO EAGLE MINES LIMITED (XNYS:AEM),Metals & Mining,42.64,45.13,3129008,7/10/2022 23:59
"AETHLON MEDICAL, INC. (XNAS:AEMD)",Healthcare Equipment & Supplies,0.63,0.67,279404,7/10/2022 23:23
Aenza SAA (XNYS:AENZ),Construction & Engineering,0.78,0.77,7320,7/10/2022 23:43
"AMERICAN EAGLE OUTFITTERS, INC. (XNYS:AEO)",Specialty Retailers,10.5,10.79,8589764,7/10/2022 23:12
"AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP)",Electrical Utilities & IPPs,82.99,84.51,3185329,7/10/2022 23:23
AMERICAN ELEC PWR UNT (XNAS:AEPPZ),#FIELD!,48.35,49.16,127726,7/10/2022 20:00
AerCap Holdings NV (XNYS:AER),Professional & Commercial Services,47.19,47.67,1002705,7/10/2022 23:00
"AEROCLEAN TECHNOLOGIES, INC. (XNAS:AERC)",Professional & Commercial Services,3.43,4.09,3511419,7/10/2022 23:59
"AERIE PHARMACEUTICALS, INC. (XNAS:AERI)",Pharmaceuticals,15.2,15.16,1220471,7/10/2022 22:13
THE AES CORPORATION (XNYS:AES),Electrical Utilities & IPPs,24.92,25.4,5907163,7/10/2022 23:00
AES UNT (XNYS:AESC),#FIELD!,97.11,95.82,78917,7/10/2022 23:00
"ALLIED ESPORTS ENTERTAINMENT, INC. (XNAS:AESE)",Software & IT Services,1.18,1.22,65597,7/10/2022 23:51
"AEVA TECHNOLOGIES, INC. (XNYS:AEVA)",Communications & Networking,2.06,2.17,1705352,7/10/2022 23:50
"ADDVANTAGE TECHNOLOGIES GROUP, INC. (XNAS:AEY)",Communications & Networking,2.02,2.05,38571,7/10/2022 20:19
"AUDIOEYE, INC. (XNAS:AEYE)",Software & IT Services,6.14,6.42,15842,7/10/2022 22:19
AETERNA ZENTARIS INC. (XNAS:AEZS),Biotechnology & Medical Research,3.85,3.85,20468,7/10/2022 21:11
Arena Fortify Acquisition Corp (XNAS:AFAC),Holding Companies,10.07,10.08,11561,7/10/2022 20:00
AF ACQUISITION CORP. (XNAS:AFAQ),Holding Companies,9.83,9.83,9820,7/10/2022 20:00
AF ACQUISITION UNT (XNAS:AFAQU),#FIELD!,9.8,9.86,396,3/10/2022 20:00
Aura Fat Projects Acquisition Corp (XNAS:AFAR),Holding Companies,10.06,10.06,54389,7/10/2022 20:00
AllianceBernstein Nat Mu (XNYS:AFB),#FIELD!,10.44,10.46,68759,7/10/2022 23:00
"Affinity Bancshares, Inc. (XNAS:AFBI)",Banking Services,14.56,14.58,3183,7/10/2022 20:00
"AFC Gamma, Inc. (XNAS:AFCG)",Residential & Commercial REIT,15.7,16.31,168323,7/10/2022 23:20
"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFG)",Insurance,127.03,128.74,332693,7/10/2022 23:00
"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGB)",Insurance,23.24,23.43,7276,7/10/2022 23:00
"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGC)",Insurance,20.48,20.71,7595,7/10/2022 23:00
"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGD)",Insurance,22.01,22.51,6397,7/10/2022 23:00
"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGE)",Insurance,19.33,19.63,3461,7/10/2022 23:00
"ACUTUS MEDICAL, INC. (XNAS:AFIB)",Healthcare Equipment & Supplies,0.73,0.85,102035,7/10/2022 20:08
AFLAC INCORPORATED (XWBO:AFL),Insurance,59.18,60.13,2325930,9/16/2022 15:50
Affimed NV (XNAS:AFMD),Biotechnology & Medical Research,1.9,1.96,1260605,7/10/2022 22:44
Forafric Global PLC (XNAS:AFRI),Food & Tobacco,11.39,11.34,52981,7/10/2022 20:00
Affirm Holdings Inc (XNAS:AFRM),Financial Technology (Fintech) & Infrastructure,18.9,20.95,10560950,7/10/2022 23:59
Apollo Senior Float Rate (XNYS:AFT),#FIELD!,12.45,12.57,52634,7/10/2022 23:00
AfterNext HealthTech Acquisition Corp. (XNYS:AFTR),Holding Companies,9.79,9.79,69673,7/10/2022 23:00
Afya Limited (XNAS:AFYA),Professional & Business Education,14.77,14.95,242466,7/10/2022 22:19
First Majestic Silver Corp. (XNYS:AG),Metals & Mining,8.23,8.99,7824334,7/10/2022 23:58
AFRICAN GOLD ACQUISITION CORPORATION (XNYS:AGAC),Holding Companies,9.91,9.92,112145,7/10/2022 23:00
AGBA Acquisition Limited (XNAS:AGBA),Holding Companies,11.46,11.45,6570,7/10/2022 20:00
Altimeter Growth Corp 2 (XNYS:AGCB),Holding Companies,9.95,9.95,124780,7/10/2022 23:00
AGCO CORPORATION (XNYS:AGCO),"Machinery, Equipment & Components",106.15,106.4,634818,7/10/2022 23:00
abrdn Glbl Dyn Div (XNYS:AGD),#FIELD!,8.77,8.73,45790,7/10/2022 23:00
"AGEX THERAPEUTICS, INC. (XNYS:AGE)",Biotechnology & Medical Research,0.59,0.57,20870,8/10/2022 0:00
AGENUS INC. (XNAS:AGEN),Biotechnology & Medical Research,2.68,2.8,4796501,7/10/2022 23:58
"AGROFRESH SOLUTIONS, INC. (XNAS:AGFS)",Chemicals,1.56,1.49,18153,7/10/2022 20:00
Agrify Corp (XNAS:AGFY),Food & Tobacco,0.44,0.54,1633681,7/10/2022 23:59
Agile Growth Corp (XNAS:AGGR),Holding Companies,9.94,9.92,114459,4/10/2022 20:00
AGILE GROWTH UNT (XNAS:AGGRU),#FIELD!,9.92,9.92,6501,3/10/2022 20:00
ALAMOS GOLD INC. (XNYS:AGI),Metals & Mining,7.82,8.09,3777996,7/10/2022 23:00
"AGILETHOUGHT, INC. (XNAS:AGIL)",Software & IT Services,4.5,4.25,16670,7/10/2022 20:00
"AGIOS PHARMACEUTICALS, INC. (XNAS:AGIO)",Biotechnology & Medical Research,27.09,28.83,942314,7/10/2022 22:20
"AGILON HEALTH, INC. (XNYS:AGL)",Healthcare Providers & Services,22.56,23.14,2415986,7/10/2022 23:00
"AEGLEA BIOTHERAPEUTICS, INC. (XNAS:AGLE)",Biotechnology & Medical Research,0.5,0.53,321554,7/10/2022 23:02
FEDERAL AGRICULTURAL MORTGAGE CORPORATION (XNYS:AGM),Banking Services,101.12,103.23,31080,7/10/2022 23:00
AGM Group Holdings Inc (XNAS:AGMH),Software & IT Services,1.79,1.64,9906,7/10/2022 20:00
AGNC INVESTMENT CORP. (XNAS:AGNC),Residential & Commercial REIT,7.87,8.2,14854579,7/10/2022 23:59
AGNC INVESTMENT CORP. (XNAS:AGNCL),Residential & Commercial REIT,20.84,20.88,24280000,7/10/2022 20:00
AGNC INVESTMENT CORP. (XNAS:AGNCM),Residential & Commercial REIT,18.99,19.39,31949,7/10/2022 20:00
AGNC INVESTMENT CORP. (XNAS:AGNCN),Residential & Commercial REIT,23.35,23.65,77559,7/10/2022 20:00
AGNC INVESTMENT CORP. (XNAS:AGNCO),Residential & Commercial REIT,20.06,20.12,51415,7/10/2022 20:46
AGNC INVESTMENT CORP. (XNAS:AGNCP),Residential & Commercial REIT,18.92,19.18,69558,7/10/2022 20:00
ASSURED GUARANTY LTD. (XNYS:AGO),Insurance,50.25,50.72,381426,7/10/2022 23:00
"Avangrid, Inc. (XNYS:AGR)",Electrical Utilities & IPPs,39.64,41.01,894699,7/10/2022 23:55
AgriFORCE Growing Systems Ltd (XNAS:AGRI),Pharmaceuticals,1.47,1.55,1028771,7/10/2022 22:37
Adecoagro SA (XNYS:AGRO),Food & Tobacco,8.51,8.55,585225,7/10/2022 23:00
"AGILE THERAPEUTICS, INC. (XNAS:AGRX)",Biotechnology & Medical Research,0.27,0.3,1261178,7/10/2022 23:55
"PLAYAGS, INC. (XNYS:AGS)",Hotels & Entertainment Services,5.93,6,276174,7/10/2022 23:00
APPLIED GENETIC TECHNOLOGIES CORPORATION (XNAS:AGTC),Biotechnology & Medical Research,0.27,0.27,645812,7/10/2022 23:59
"AGILITI, INC. (XNYS:AGTI)",Healthcare Equipment & Supplies,15.76,16.24,226904,7/10/2022 23:00
"ARGAN, INC. (XNYS:AGX)",Construction & Engineering,32.03,33.01,101625,7/10/2022 23:56
"AGILYSYS, INC. (XNAS:AGYS)",Software & IT Services,54.22,56.91,124417,7/10/2022 20:02
